"population","latdd","londd","BIO1","BIO2","BIO3","BIO4","BIO5","BIO6","BIO7","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19"
"CB",-29.291731,-71.305778,16.2,8.9,5.6,236.7,24.4,8.6,15.8,13.7,19.3,19.3,13.2,65,17,0,108,46,0,0,42
"CC",38.507761,-122.097261,15.4,15.2,4.8,579,33.8,2.3,31.5,8.2,22.7,22.7,8.2,694,154,1,92,385,7,7,385
