Site,PPTCV
Alcohuaz,0.916
Bodega Bay cove,0.352152223
Calcareous,0.39746364
Carrizal Bajo,1.538
Cerro Grande,0.686
Fray Jorge,0.749
Illapel,0.594
Kearney,0.349829711
Las Campanas,0.524
Lindcove,0.34612962
Mantagua,0.547
McL seep,0.403273913
Motte,0.504316288
NeoHaus,0.724
Riverwood,0.295528539
Sand Ridge grassland,0.381302058
Santiago,0.419
Sierra Foothills grazed,0.300873796
Sweeney corral,0.502734747
Vallenar,1.317
